Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Item_Visibility,Item_Visibility_MeanRatio,Item_Weight,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9,Outlet_Identifier,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_Years,source
1,0,0,FDA15,249.8092,3735.138,0,1,0,0.016047301,0.9310779543761083,9.3,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,DRC01,48.2692,443.4228,1,0,0,0.019278216,0.9334195208758378,5.92,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
1,0,0,FDN15,141.618,2097.27,0,1,0,0.016760075,0.9600687539048446,17.5,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,FDX07,182.095,732.38,0,1,0,0.017834337888888892,1.0,19.2,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
0,1,0,NCD19,53.8614,994.7052,0,0,1,0.009779828555555557,1.0,8.93,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,0,1,FDP36,51.4008,556.6088,0,1,0,0.057058688875,1.0,10.395,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,0,1,FDO10,57.6588,343.5528,0,1,0,0.012741088999999999,1.4971974776517427,13.65,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
1,0,0,FDP10,107.7622,4022.7636,0,1,0,0.127469857,0.8704928816397633,19.0,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,FDH17,96.9726,1076.5986,0,1,0,0.016687114,0.9241603619293527,16.2,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
0,0,1,FDU28,187.8214,4710.535,0,1,0,0.09444959,0.9639830398302507,19.2,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,FDY07,45.5402,1516.0266,0,1,0,0.040626524444444444,1.0,11.8,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
